entry_idx,entry_dt,dir,entry_price,oracle_pnl,H1_sr_target,H1_sr_found,H1_sr_dist_atr,H1_htf_atr,conv_reason,conv_pnl,conv_bars,H1_reason,H1_pnl,H1_bars,M15_sr_target,M15_sr_found,M15_sr_dist_atr,M15_htf_atr,M15_reason,M15_pnl,M15_bars
71529,2025-11-11 23:43:00,SELL,4127.95,236.9999999999891,3674.61,True,39.5,11.47827,StructBreak,-209.00000000001455,16,StructBreak,-209.00000000001455,16,3674.61,True,101.16,4.4812,StructBreak,-209.00000000001455,16
71590,2025-11-12 01:45:00,BUY,4143.39,213.0000000000109,0.0,False,0.0,12.3385,TimeExit,-1.0000000000218279,9,TimeExit,-1.0000000000218279,9,0.0,False,0.0,4.93252,TimeExit,-1.0000000000218279,9
71656,2025-11-12 02:51:00,SELL,4136.25,1750.0,3674.61,True,37.02,12.4707,TimeExit,-23.999999999978172,16,TimeExit,-23.999999999978172,16,3674.61,True,81.11,5.69178,TimeExit,-23.999999999978172,16
71717,2025-11-12 03:52:00,BUY,4135.55,5.999999999949068,0.0,False,0.0,12.25461,TimeExit,-373.9999999999782,8,TimeExit,-373.9999999999782,8,0.0,False,0.0,6.20441,TimeExit,-373.9999999999782,8
71778,2025-11-12 04:53:00,SELL,4121.41,1775.0,3674.61,True,34.82,12.83133,TimeExit,-390.99999999998545,8,TimeExit,-390.99999999998545,8,3674.61,True,67.92,6.57796,TimeExit,-390.99999999998545,8
71839,2025-11-12 05:54:00,SELL,4113.48,1463.9999999999418,3674.61,True,33.92,12.93782,EMACross,175.0,36,EMACross(FB),175.0,36,3674.61,True,66.53,6.59618,EMACross(FB),175.0,36
71902,2025-11-12 06:57:00,BUY,4111.2,790.0000000000546,0.0,False,0.0,12.46877,EMACross,-268.99999999996,6,EMACross(NoSR),-268.99999999996,6,0.0,False,0.0,6.63064,EMACross(NoSR),-268.99999999996,6
71965,2025-11-12 08:00:00,SELL,4105.22,205.0000000000182,3674.61,True,33.38,12.90152,StructBreak,-344.9999999999818,6,StructBreak,-344.9999999999818,6,3674.61,True,67.02,6.42465,StructBreak,-344.9999999999818,6
72032,2025-11-12 09:07:00,BUY,4120.17,1336.999999999989,0.0,False,0.0,12.75865,TimeExit,-75.0,27,TimeExit,-75.0,27,0.0,False,0.0,7.15858,TimeExit,-75.0,27
72105,2025-11-12 10:20:00,BUY,4123.88,965.9999999999854,0.0,False,0.0,13.8255,EMACross,451.0000000000218,53,EMACross(NoSR),451.0000000000218,53,0.0,False,0.0,7.85879,EMACross(NoSR),451.0000000000218,53
