entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
92173,2026-02-03 04:43:00,SELL,78433.15,78834.7,749.1872,0.0,False,0.0,788.1499999999942,20,92217,EMACross,202.75,44,25.724798578950896,92217,EMACross(NoSR),202.75,44,25.724798578950896,92225.0,TimeExit,-87.25,52.0,-11.07022774852511
92234,2026-02-03 05:44:00,BUY,78547.1,77848.0,815.41557,83810.8,True,6.46,440.59999999999127,58,92256,TimeExit,-14.30000000000291,22,-3.2455742169775745,92256,TimeExit,-14.30000000000291,22,-3.2455742169775745,92276.0,TimeExit,-18.40000000000873,42.0,-4.176123468000249
92295,2026-02-03 06:45:00,BUY,78932.0,78475.3,775.01349,83810.8,True,6.3,13.5,1,92301,TimeExit,-71.19999999999709,6,-527.4074074073859,92301,TimeExit,-71.19999999999709,6,-527.4074074073859,92325.0,StructBreak,-481.8000000000029,30.0,-3568.8888888889105
92367,2026-02-03 07:57:00,SELL,78252.3,78486.5,750.62503,0.0,False,0.0,314.6999999999971,10,92389,TimeExit,-56.89999999999418,22,-18.08071178900372,92389,TimeExit,-56.89999999999418,22,-18.08071178900372,92397.0,TimeExit,-118.89999999999418,30.0,-37.78201461709415
92436,2026-02-03 09:06:00,BUY,78692.6,78464.7,706.25258,83810.8,True,7.25,381.6999999999971,92,92448,TimeExit,-58.0,12,-15.19517946030926,92448,TimeExit,-58.0,12,-15.19517946030926,92500.0,TimeExit,-72.10000000000582,64.0,-18.889179984282517
92500,2026-02-03 10:10:00,SELL,78620.5,78914.3,695.39223,0.0,False,0.0,704.3000000000029,80,92508,TimeExit,-31.19999999999709,8,-4.429930427374266,92508,TimeExit,-31.19999999999709,8,-4.429930427374266,92516.0,StructBreak,-301.5,16.0,-42.8084623029957
92561,2026-02-03 11:11:00,SELL,78343.2,78867.0,724.13994,0.0,False,0.0,427.0,19,92593,EMACross,41.89999999999418,32,9.812646370022057,92593,EMACross(NoSR),41.89999999999418,32,9.812646370022057,92602.0,TimeExit,-12.900000000008731,41.0,-3.02107728337441
92622,2026-02-03 12:12:00,BUY,78523.6,78308.2,694.53461,83810.8,True,7.61,27.29999999998836,4,92628,TimeExit,-62.5,6,-228.9377289378266,92628,TimeExit,-62.5,6,-228.9377289378266,92642.0,StructBreak,-263.0,20.0,-963.3699633703742
92685,2026-02-03 13:15:00,BUY,78144.9,78048.8,647.67666,83810.8,True,8.75,292.8000000000029,111,92691,TimeExit,-43.79999999998836,6,-14.959016393438498,92691,TimeExit,-43.79999999998836,6,-14.959016393438498,92696.0,StructBreak,-135.59999999999127,11.0,-46.311475409832624
92753,2026-02-03 14:23:00,BUY,78161.4,77969.6,618.94644,83810.8,True,9.13,276.3000000000029,43,92794,EMACross,80.40000000000873,41,29.09880564603977,92794,EMACross(FB),80.40000000000873,41,29.09880564603977,92867.0,TimeExit,-43.89999999999418,114.0,-15.888526963443256
92842,2026-02-03 15:52:00,SELL,78212.1,78428.5,571.30025,0.0,False,0.0,1179.7000000000116,83,92848,TimeExit,-114.89999999999418,6,-9.739764346867258,92848,TimeExit,-114.89999999999418,6,-9.739764346867258,92875.0,TimeExit,-102.19999999999709,33.0,-8.663219462574899
92903,2026-02-03 16:53:00,SELL,77694.1,78274.2,663.58022,0.0,False,0.0,1192.800000000003,113,92936,TimeExit,-356.1999999999971,33,-29.86250838363483,92936,TimeExit,-356.1999999999971,33,-29.86250838363483,92936.0,TimeExit,-356.1999999999971,33.0,-29.86250838363483
92968,2026-02-03 17:58:00,BUY,78120.0,77311.0,730.20952,83810.8,True,7.79,64.69999999999709,1,92974,TimeExit,-328.3999999999942,6,-507.5734157650833,92974,TimeExit,-328.3999999999942,6,-507.5734157650833,92986.0,StructBreak,-927.5,18.0,-1433.5394126739438
