entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
7353,2025-12-08 02:42:00,SELL,155.109,155.236,0.16733,155.011,True,0.59,215.0000000000034,87,7363,TimeExit,-38.99999999998727,10,-18.13953488371472,7363,TimeExit,-38.99999999998727,10,-18.13953488371472,7386.0,SR_TP,98.00000000001319,33.0,45.58139534884262
7414,2025-12-08 03:43:00,SELL,154.971,155.048,0.17662,154.66,True,1.76,76.99999999999818,26,7445,TimeExit,0.0,31,0.0,7445,TimeExit,0.0,31,0.0,7445.0,TimeExit,0.0,31.0,0.0
7475,2025-12-08 04:44:00,BUY,155.006,154.954,0.1756,155.226,True,1.25,111.99999999999477,77,7479,EMACross,3.9999999999906777,4,3.5714285714204146,7479,EMACross(FB),3.9999999999906777,4,3.5714285714204146,7506.0,TimeExit,-12.000000000000455,31.0,-10.71428571428662
7536,2025-12-08 05:45:00,BUY,155.068,155.016,0.17112,155.226,True,0.92,149.99999999997726,101,7556,TimeExit,-4.000000000019099,20,-2.666666666679804,7556,TimeExit,-4.000000000019099,20,-2.666666666679804,7571.0,TimeExit,-8.000000000009777,35.0,-5.33333333334066
7602,2025-12-08 06:51:00,SELL,155.054,155.1,0.15711,154.894,True,1.02,-1.0000000000047748,1,7608,EMACross,-16.999999999995907,6,,7608,EMACross(FB),-16.999999999995907,6,,7613.0,StructBreak,-51.9999999999925,11.0,
7664,2025-12-08 07:53:00,BUY,155.264,155.175,0.16296,155.51075,True,1.51,82.99999999999841,117,7671,StructBreak,-93.00000000001774,7,-112.04819277110785,7671,StructBreak,-93.00000000001774,7,-112.04819277110785,7671.0,StructBreak,-93.00000000001774,7.0,-112.04819277110785
7734,2025-12-08 09:03:00,BUY,155.222,155.189,0.16846,155.51075,True,1.71,242.999999999995,119,7741,StructBreak,-34.99999999999659,7,-14.403292181068853,7741,StructBreak,-34.99999999999659,7,-14.403292181068853,7741.0,StructBreak,-34.99999999999659,7.0,-14.403292181068853
7795,2025-12-08 10:04:00,BUY,155.279,155.246,0.17293,155.51075,True,1.34,259.00000000001455,76,7801,EMACross,-1.0000000000047748,6,-0.386100386102208,7801,EMACross(FB),-1.0000000000047748,6,-0.386100386102208,7862.0,SR_TP,231.75000000000523,67.0,89.47876447876148
7862,2025-12-08 11:11:00,BUY,155.489,155.367,0.17014,155.979,True,2.88,80.99999999998886,115,7874,TimeExit,-15.999999999991132,12,-19.753086419744857,7874,TimeExit,-15.999999999991132,12,-19.753086419744857,7892.0,TimeExit,-61.00000000000705,30.0,-75.3086419753277
7929,2025-12-08 12:18:00,SELL,155.421,155.517,0.16359,155.226,True,1.19,15.999999999991132,17,7939,TimeExit,-15.00000000001478,10,-93.75000000014433,7939,TimeExit,-15.00000000001478,10,-93.75000000014433,7959.0,TimeExit,-52.99999999999727,30.0,-331.25000000016655
7998,2025-12-08 13:27:00,SELL,155.513,155.557,0.15738,155.226,True,1.82,44.00000000001114,109,8014,TimeExit,-9.999999999990905,16,-22.7272727272463,8014,TimeExit,-9.999999999990905,16,-22.7272727272463,8025.0,StructBreak,-50.99999999998772,27.0,-115.90909090903365
8059,2025-12-08 14:28:00,BUY,155.603,155.583,0.15173,155.979,True,2.48,52.99999999999727,88,8080,TimeExit,-3.0000000000143245,21,-5.660377358517884,8080,TimeExit,-3.0000000000143245,21,-5.660377358517884,8082.0,StructBreak,-31.00000000000591,23.0,-58.490566037750014
8120,2025-12-08 15:29:00,SELL,155.51,155.544,0.15643,155.226,True,1.82,122.99999999999045,57,8122,StructBreak,-52.99999999999727,2,-43.08943089431007,8122,StructBreak,-52.99999999999727,2,-43.08943089431007,8122.0,StructBreak,-52.99999999999727,2.0,-43.08943089431007
8181,2025-12-08 16:30:00,SELL,155.515,155.604,0.20037,155.226,True,1.44,32.99999999998704,2,8187,StructBreak,-109.00000000000887,6,-330.3030303031869,8187,StructBreak,-109.00000000000887,6,-330.3030303031869,8187.0,StructBreak,-109.00000000000887,6.0,-330.3030303031869
8251,2025-12-08 17:40:00,BUY,155.965,155.75,0.20419,156.16699999999997,True,0.99,14.000000000010004,5,8261,TimeExit,-28.999999999996362,10,-207.1428571426831,8261,TimeExit,-28.999999999996362,10,-207.1428571426831,8281.0,TimeExit,-100.99999999999909,30.0,-721.4285714280494
8312,2025-12-08 18:41:00,BUY,155.901,155.862,0.19403,156.16699999999997,True,1.37,18.999999999977035,21,8318,EMACross,-34.99999999999659,6,-184.21052631599417,8318,EMACross(FB),-34.99999999999659,6,-184.21052631599417,8342.0,TimeExit,-5.000000000023874,30.0,-26.315789473841672
8373,2025-12-08 19:42:00,SELL,155.805,155.847,0.19469,155.51075,True,1.51,105.99999999999454,65,8421,EMACross,33.00000000001546,48,31.132075471714305,8421,EMACross(FB),33.00000000001546,48,31.132075471714305,8483.0,TimeExit,-13.00000000000523,110.0,-12.264150943401791
8437,2025-12-08 20:46:00,SELL,155.709,155.779,0.1794,155.51075,True,1.11,9.999999999990905,1,8447,TimeExit,-19.000000000005457,10,-190.00000000022737,8447,TimeExit,-19.000000000005457,10,-190.00000000022737,8467.0,TimeExit,-32.00000000001069,30.0,-320.0000000003979
8498,2025-12-08 21:47:00,BUY,155.838,155.767,0.17988,155.979,True,0.78,117.00000000001864,103,8542,EMACross,34.000000000020236,44,29.059829059841725,8542,EMACross(FB),34.000000000020236,44,29.059829059841725,8750.0,TimeExit,-31.999999999982265,252.0,-27.350427350407834
8559,2025-12-08 22:48:00,SELL,155.88,155.897,0.16723,155.51075,True,2.21,74.99999999998863,76,8563,StructBreak,-20.000000000010232,4,-26.666666666684353,8563,StructBreak,-20.000000000010232,4,-26.666666666684353,8563.0,StructBreak,-20.000000000010232,4.0,-26.666666666684353
8623,2025-12-08 23:52:00,SELL,155.908,155.947,0.152,155.51075,True,2.61,102.99999999998022,12,8674,EMACross,22.999999999996135,51,22.330097087379176,8674,EMACross(FB),22.999999999996135,51,22.330097087379176,8684.0,TimeExit,-15.00000000001478,61.0,-14.563106796133651
8684,2025-12-09 00:54:00,BUY,155.923,155.852,0.14773,156.16699999999997,True,1.65,48.00000000000182,22,8717,TimeExit,-15.00000000001478,33,-31.250000000029605,8717,TimeExit,-15.00000000001478,33,-31.250000000029605,8717.0,TimeExit,-15.00000000001478,33.0,-31.250000000029605
8747,2025-12-09 01:57:00,SELL,155.845,155.932,0.14644,155.51075,True,2.28,82.99999999999841,119,8757,TimeExit,0.0,10,0.0,8757,TimeExit,0.0,10,0.0,8777.0,TimeExit,-21.99999999999136,30.0,-26.50602409637564
8808,2025-12-09 02:58:00,BUY,155.992,155.856,0.16051,156.16699999999997,True,1.09,39.00000000001569,6,8818,TimeExit,-42.00000000000159,10,-107.69230769226846,8818,TimeExit,-42.00000000000159,10,-107.69230769226846,8838.0,TimeExit,-105.99999999999454,30.0,-271.7948717947485
8869,2025-12-09 03:59:00,SELL,155.791,155.896,0.17498,155.51075,True,1.6,52.99999999999727,4,8882,TimeExit,-1.0000000000047748,13,-1.8867924528392948,8882,TimeExit,-1.0000000000047748,13,-1.8867924528392948,8899.0,TimeExit,-46.999999999997044,30.0,-88.67924528301786
8945,2025-12-09 05:15:00,SELL,155.862,155.895,0.16186,155.51075,True,2.17,64.99999999999773,42,8959,TimeExit,-6.000000000000227,14,-9.230769230769903,8959,TimeExit,-6.000000000000227,14,-9.230769230769903,9004.0,TimeExit,0.0,59.0,0.0
9006,2025-12-09 06:16:00,BUY,155.878,155.797,0.16361,155.979,True,0.62,227.00000000000387,51,9016,TimeExit,-1.999999999981128,10,-0.8810572687141383,9016,TimeExit,-1.999999999981128,10,-0.8810572687141383,9038.0,SR_TP,101.00000000002751,32.0,44.49339207049594
9067,2025-12-09 07:17:00,BUY,155.974,155.925,0.17513,156.16699999999997,True,1.1,183.9999999999975,119,9073,EMACross,-28.999999999996362,6,-15.760869565215629,9073,EMACross(FB),-28.999999999996362,6,-15.760869565215629,9076.0,StructBreak,-64.99999999999773,9.0,-35.32608695652099
9128,2025-12-09 08:18:00,BUY,156.108,155.954,0.17378,156.553,True,2.56,176.9999999999925,119,9138,TimeExit,-32.00000000001069,10,-18.079096045204544,9138,TimeExit,-32.00000000001069,10,-18.079096045204544,9158.0,TimeExit,-102.00000000000387,30.0,-57.627118644072425
9189,2025-12-09 09:19:00,BUY,156.133,155.979,0.17901,156.553,True,2.35,292.99999999997794,81,9199,TimeExit,-28.999999999996362,10,-9.89761092150121,9199,TimeExit,-28.999999999996362,10,-9.89761092150121,9306.0,TimeExit,-14.000000000010004,117.0,-4.7781569965908055
9250,2025-12-09 10:20:00,BUY,156.291,156.178,0.18821,156.553,True,1.39,134.9999999999909,20,9285,EMACross,33.00000000001546,35,24.444444444457545,9285,EMACross(FB),33.00000000001546,35,24.444444444457545,9291.0,TimeExit,-2.999999999985903,41.0,-2.2222222222119297
9311,2025-12-09 11:21:00,SELL,155.991,156.318,0.21165,155.51075,True,2.27,20.000000000010232,1,9321,TimeExit,-88.99999999999864,10,-444.9999999997655,9321,TimeExit,-88.99999999999864,10,-444.9999999997655,9341.0,TimeExit,-64.99999999999773,30.0,-324.99999999982236
9372,2025-12-09 12:22:00,BUY,156.152,156.08,0.20449,156.553,True,1.96,138.00000000000523,113,9386,TimeExit,-12.999999999976808,14,-9.420289855055302,9386,TimeExit,-12.999999999976808,14,-9.420289855055302,9389.0,StructBreak,-73.99999999998386,17.0,-53.623188405783374
9433,2025-12-09 13:23:00,BUY,156.103,156.09,0.19456,156.553,True,2.31,313.99999999999295,120,9434,StructBreak,-16.000000000019554,1,-5.095541401280227,9434,StructBreak,-16.000000000019554,1,-5.095541401280227,9434.0,StructBreak,-16.000000000019554,1.0,-5.095541401280227
9494,2025-12-09 14:24:00,BUY,156.263,156.206,0.19129,156.553,True,1.52,245.9999999999809,69,9504,TimeExit,-2.0000000000095497,10,-0.813008130085246,9504,TimeExit,-2.0000000000095497,10,-0.813008130085246,9650.0,SR_TP,289.99999999999204,156.0,117.88617886179453
9555,2025-12-09 15:25:00,BUY,156.469,156.329,0.19632,156.916,True,2.28,384.00000000001455,105,9565,TimeExit,-9.999999999990905,10,-2.6041666666641996,9565,TimeExit,-9.999999999990905,10,-2.6041666666641996,9582.0,StructBreak,-168.99999999998272,27.0,-44.010416666660504
9616,2025-12-09 16:26:00,BUY,156.511,156.311,0.19947,156.916,True,2.03,405.00000000000114,101,9626,TimeExit,-74.99999999998863,10,-18.51851851851566,9626,TimeExit,-74.99999999998863,10,-18.51851851851566,9646.0,TimeExit,-88.99999999999864,30.0,-21.975308641974912
9678,2025-12-09 17:28:00,SELL,156.632,156.853,0.24234,156.16699999999997,True,1.92,67.00000000000728,4,9688,TimeExit,-76.99999999999818,10,-114.92537313431316,9688,TimeExit,-76.99999999999818,10,-114.92537313431316,9701.0,StructBreak,-234.99999999998522,23.0,-350.74626865665624
9743,2025-12-09 18:33:00,BUY,156.896,156.818,0.22496,0.0,False,0.0,25.000000000005684,104,9753,TimeExit,-0.9999999999763531,10,-3.999999999904503,9753,TimeExit,-0.9999999999763531,10,-3.999999999904503,9773.0,TimeExit,-60.99999999997863,30.0,-243.99999999985903
9830,2025-12-09 20:00:00,BUY,156.913,156.87,0.18635,0.0,False,0.0,36.000000000001364,70,9838,EMACross,-25.000000000005684,8,-69.4444444444576,9838,EMACross(NoSR),-25.000000000005684,8,-69.4444444444576,9860.0,TimeExit,-26.00000000001046,30.0,-72.22222222224853
