entry_idx,entry_dt,dir,entry_price,impulse_start,ma_match,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,fr_exit_idx,fr_reason,fr_pnl,fr_bars,fr_efficiency,hyb_exit_idx,hyb_reason,hyb_pnl,hyb_bars,hyb_efficiency
9749,2025-12-07 18:59:00,BUY,89889.6,89362.7,MATCH,1861.3999999999942,92,9755,TimeExit,-228.8000000000029,6,-12.291823358762418,9811.0,TrailStop,1259.3999999999942,62.0,67.65875147738252,9811.0,H:TrailStop,1259.3999999999942,62.0,67.65875147738252
9811,2025-12-07 20:01:00,BUY,91149.0,90688.8,MATCH,602.0,30,9855,EMACross,311.8999999999942,44,51.810631229234914,9954.0,TrailStop,302.3000000000029,143.0,50.21594684385431,9954.0,H:TrailStop,302.3000000000029,143.0,50.21594684385431
9872,2025-12-07 21:02:00,SELL,91354.8,91523.2,MATCH,154.6999999999971,36,9879,TimeExit,-56.69999999999709,7,-36.65158371040605,9953.0,UnfavBreak,-101.39999999999418,81.0,-65.54621848739242,9902.0,TimeExit+FR,-8.30000000000291,30.0,-5.365223012283818
9933,2025-12-07 22:03:00,BUY,91404.7,91278.6,MATCH,100.19999999999709,41,9939,TimeExit,-65.89999999999418,6,-65.7684630738484,9955.0,TrailStop,-18.19999999999709,22.0,-18.16367265468824,9955.0,H:TrailStop,-18.19999999999709,22.0,-18.16367265468824
9994,2025-12-07 23:04:00,SELL,91325.0,91504.9,MATCH,2360.300000000003,63,10082,EMACross,1587.1000000000058,88,67.2414523577513,10105.0,TrailStop,1874.8999999999942,111.0,79.43481760793085,10105.0,H:TrailStop,1874.8999999999942,111.0,79.43481760793085
10055,2025-12-08 00:05:00,SELL,89575.2,90537.4,MATCH,610.5,2,10061,TimeExit,-96.90000000000873,6,-15.872235872237303,10105.0,TrailStop,125.09999999999127,50.0,20.491400491399062,10085.0,TimeExit+FR,-337.6999999999971,30.0,-55.31531531531484
10116,2025-12-08 01:06:00,SELL,89504.5,90184.3,MATCH,-4.100000000005821,1,10122,TimeExit,-181.5,6,,10126.0,UnfavBreak,-341.3999999999942,10.0,,10126.0,H:UnfavBreak,-341.3999999999942,10.0,
10177,2025-12-08 02:07:00,BUY,90253.6,89969.6,MATCH,1427.2999999999884,92,10183,TimeExit,-182.40000000000873,6,-12.779373642542577,10184.0,UnfavBreak,-200.20000000001164,7.0,-14.026483570378566,10184.0,H:UnfavBreak,-200.20000000001164,7.0,-14.026483570378566
10238,2025-12-08 03:08:00,BUY,90540.2,90268.5,MATCH,1140.699999999997,31,10283,EMACross,536.4000000000087,45,47.02375734198388,10388.0,UnfavBreak,517.1999999999971,150.0,45.340580345401804,10388.0,H:UnfavBreak,517.1999999999971,150.0,45.340580345401804
10299,2025-12-08 04:09:00,SELL,90854.6,91139.9,MATCH,52.70000000001164,1,10305,TimeExit,-108.69999999999709,6,-206.2618595824916,10389.0,TrailStop,-202.79999999998836,90.0,-384.81973434524394,10329.0,TimeExit+FR,-343.09999999999127,30.0,-651.0436432635968
10364,2025-12-08 05:14:00,SELL,91149.0,91427.6,MATCH,167.60000000000582,31,10370,TimeExit,-131.6999999999971,6,-78.57995226729864,10395.0,TrailStop,123.30000000000291,31.0,73.56801909307794,10395.0,H:TrailStop,123.30000000000291,31.0,73.56801909307794
10425,2025-12-08 06:15:00,BUY,91114.9,91016.2,MATCH,353.5,18,10431,TimeExit,-13.099999999991269,6,-3.705799151341236,10473.0,UnfavBreak,-39.5,48.0,-11.173974540311175,10472.0,TimeExit+FR,-8.0,47.0,-2.263083451202263
10486,2025-12-08 07:16:00,SELL,91084.0,91288.7,MATCH,0.0,1,10489,StructBreak,-227.8000000000029,3,,10534.0,TrailStop,-188.60000000000582,48.0,,10516.0,TimeExit+FR,-279.8000000000029,30.0,
10547,2025-12-08 08:17:00,BUY,91441.7,91236.5,MATCH,431.3000000000029,79,10553,TimeExit,-87.80000000000291,6,-20.357060051009114,10688.0,TrailStop,292.1000000000058,141.0,67.72548110364104,10588.0,TimeExit+FR,-33.5,41.0,-7.767215395316433
10608,2025-12-08 09:18:00,SELL,91462.4,91542.8,MISMATCH,3.1999999999970896,2,10613,StructBreak,-169.60000000000582,5,-5300.000000005002,10687.0,UnfavBreak,-281.20000000001164,79.0,-8787.500000008356,10613.0,H:EMACross,-169.60000000000582,5.0,-5300.000000005002
10669,2025-12-08 10:19:00,BUY,91652.4,91467.5,MATCH,627.4000000000087,47,10682,TimeExit,-3.1999999999970896,13,-0.5100414408665994,10696.0,TrailStop,127.5,27.0,20.321963659547055,10696.0,H:TrailStop,127.5,27.0,20.321963659547055
10730,2025-12-08 11:20:00,BUY,92013.3,91784.7,MISMATCH,195.39999999999418,87,10736,TimeExit,-55.60000000000582,6,-28.45445240532624,10763.0,UnfavBreak,-114.69999999999709,33.0,-58.7001023541456,10736.0,TimeExit+Conv,-55.60000000000582,6.0,-28.45445240532624
10791,2025-12-08 12:21:00,BUY,91971.2,91813.4,MATCH,237.5,26,10800,TimeExit,-26.09999999999127,9,-10.98947368420685,10821.0,TrailStop,156.3000000000029,30.0,65.8105263157907,10821.0,H:TrailStop,156.3000000000029,30.0,65.8105263157907
10854,2025-12-08 13:24:00,BUY,92121.5,91977.3,MATCH,1.6000000000058208,1,10859,EMACross,-90.5,5,-5656.249999979423,10894.0,UnfavBreak,-285.1499999999942,40.0,-17821.8749999348,10884.0,TimeExit+FR,-155.1999999999971,30.0,-9699.99999996453
