entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
15161,2025-09-16 03:27:00,BUY,3682.39,3677.05,7.72044,0.0,False,0.0,707.9999999999927,33,15198,TimeExit,-175.99999999997635,37,-24.85875706214381,15198,TimeExit,-175.99999999997635,37,-24.85875706214381,15198.0,TimeExit,-175.99999999997635,37.0,-24.85875706214381
15222,2025-09-16 04:28:00,SELL,3678.04,3681.95,8.34838,3658.3950000000004,True,2.35,332.00000000001637,78,15230,TimeExit,-92.00000000000728,8,-27.710843373494804,15230,TimeExit,-92.00000000000728,8,-27.710843373494804,15252.0,TimeExit,-34.00000000001455,30.0,-10.240963855425566
15288,2025-09-16 05:34:00,SELL,3678.47,3682.28,8.29927,3658.3950000000004,True,2.42,375.0,12,15303,TimeExit,-10.00000000003638,15,-2.666666666676368,15303,TimeExit,-10.00000000003638,15,-2.666666666676368,15320.0,TimeExit,-51.99999999999818,32.0,-13.86666666666618
15349,2025-09-16 06:35:00,BUY,3681.97,3680.22,8.0047,0.0,False,0.0,333.0000000000382,79,15357,TimeExit,-34.999999999990905,8,-10.510510510506574,15357,TimeExit,-34.999999999990905,8,-10.510510510506574,15379.0,TimeExit,-59.999999999990905,30.0,-18.018018018013223
15410,2025-09-16 07:36:00,SELL,3680.58,3683.59,7.6254,3674.61,True,0.78,44.00000000000546,4,15418,TimeExit,-205.99999999999454,8,-468.18181818174776,15418,TimeExit,-205.99999999999454,8,-468.18181818174776,15425.0,StructBreak,-334.00000000001455,15.0,-759.090909090848
15474,2025-09-16 08:40:00,SELL,3681.8,3684.48,7.17935,3674.61,True,1.0,158.0000000000382,11,15489,TimeExit,-37.99999999996544,15,-24.050632911364715,15489,TimeExit,-37.99999999996544,15,-24.050632911364715,15504.0,TimeExit,-162.99999999996544,30.0,-103.1645569619785
15535,2025-09-16 09:41:00,BUY,3686.93,3684.21,7.9021,0.0,False,0.0,1030.0000000000182,95,15581,EMACross,361.00000000001273,46,35.04854368932101,15581,EMACross(NoSR),361.00000000001273,46,35.04854368932101,15612.0,TimeExit,-44.99999999998181,77.0,-4.368932038833108
15596,2025-09-16 10:42:00,SELL,3687.86,3692.9,7.88716,3674.61,True,1.68,176.00000000002183,18,15605,TimeExit,-53.99999999999636,9,-30.68181818181231,15605,TimeExit,-53.99999999999636,9,-30.68181818181231,15626.0,StructBreak,-576.9999999999982,30.0,-327.8409090908674
15667,2025-09-16 11:53:00,BUY,3694.94,3691.74,8.31954,0.0,False,0.0,394.00000000000546,60,15675,TimeExit,-34.999999999990905,8,-8.883248730962036,15675,TimeExit,-34.999999999990905,8,-8.883248730962036,15778.0,TimeExit,-59.00000000001455,111.0,-14.974619289343588
15728,2025-09-16 12:54:00,BUY,3698.08,3694.66,8.00226,0.0,False,0.0,136.9999999999891,118,15736,TimeExit,-34.00000000001455,8,-24.81751824818778,15736,TimeExit,-34.00000000001455,8,-24.81751824818778,15758.0,TimeExit,-171.00000000000364,30.0,-124.81751824818778
15789,2025-09-16 13:55:00,SELL,3693.63,3696.72,7.73663,3674.61,True,2.46,724.0000000000236,106,15827,EMACross,107.00000000001637,38,14.779005524863656,15827,EMACross(FB),107.00000000001637,38,14.779005524863656,15829.0,TimeExit,-15.000000000009095,40.0,-2.071823204421078
15850,2025-09-16 14:56:00,BUY,3697.97,3693.18,7.89841,0.0,False,0.0,57.00000000001637,2,15858,TimeExit,-214.99999999996362,8,-377.1929824559682,15858,TimeExit,-214.99999999996362,8,-377.1929824559682,15869.0,StructBreak,-512.9999999999654,19.0,-899.999999999681
15911,2025-09-16 15:57:00,SELL,3689.15,3692.68,8.31729,3674.61,True,1.75,396.00000000000364,22,15935,TimeExit,-23.00000000000182,24,-5.808080808081214,15935,TimeExit,-23.00000000000182,24,-5.808080808081214,15941.0,TimeExit,-317.99999999998363,30.0,-80.30303030302544
15977,2025-09-16 17:03:00,SELL,3694.64,3698.45,10.12356,3674.61,True,1.98,1581.999999999971,92,15982,EMACross,-247.00000000002547,5,-15.613147914034768,15982,EMACross(FB),-247.00000000002547,5,-15.613147914034768,15987.0,StructBreak,-415.0000000000091,10.0,-26.2326169405826
16038,2025-09-16 18:04:00,SELL,3685.69,3691.04,10.11242,3674.61,True,1.1,686.9999999999891,31,16053,TimeExit,-21.000000000003638,15,-3.0567685589525433,16053,TimeExit,-21.000000000003638,15,-3.0567685589525433,16087.0,TimeExit,-30.999999999994543,49.0,-4.512372634642654
16099,2025-09-16 19:05:00,BUY,3685.83,3680.14,9.6361,0.0,False,0.0,534.0000000000146,51,16138,EMACross,75.0,39,14.044943820224336,16138,EMACross(NoSR),75.0,39,14.044943820224336,,DataEnd,,,
16160,2025-09-16 20:06:00,BUY,3688.74,3687.98,8.97929,0.0,False,0.0,212.00000000003456,113,16161,StructBreak,-76.99999999999818,1,-36.32075471697435,16161,StructBreak,-76.99999999999818,1,-36.32075471697435,16161.0,StructBreak,-76.99999999999818,1.0,-36.32075471697435
16229,2025-09-16 21:15:00,BUY,3688.28,3686.41,8.37538,0.0,False,0.0,470.99999999995816,120,16237,TimeExit,-15.000000000009095,8,-3.1847133757983928,16237,TimeExit,-15.000000000009095,8,-3.1847133757983928,16314.0,TimeExit,-3.000000000020009,85.0,-0.6369426751635404
16299,2025-09-16 22:25:00,BUY,3690.08,3689.18,7.7,0.0,False,0.0,371.00000000000364,68,16303,StructBreak,-121.00000000000364,4,-32.61455525606535,16303,StructBreak,-121.00000000000364,4,-32.61455525606535,16303.0,StructBreak,-121.00000000000364,4.0,-32.61455525606535
16360,2025-09-16 23:26:00,BUY,3693.31,3690.2,7.25333,0.0,False,0.0,157.99999999999272,109,16369,TimeExit,-11.000000000012733,9,-6.962025316464075,16369,TimeExit,-11.000000000012733,9,-6.962025316464075,16389.0,StructBreak,-342.0000000000073,29.0,-216.45569620254622
16424,2025-09-17 01:31:00,BUY,3691.74,3689.87,6.77555,0.0,False,0.0,362.00000000003456,99,16443,TimeExit,-5.999999999994543,19,-1.6574585635342458,16443,TimeExit,-5.999999999994543,19,-1.6574585635342458,16563.0,TimeExit,-21.99999999997999,139.0,-6.077348066292235
16499,2025-09-17 02:46:00,SELL,3693.78,3694.72,6.32815,3674.61,True,3.03,1721.0000000000036,112,16507,TimeExit,-91.9999999999618,8,-5.345729227191262,16507,TimeExit,-91.9999999999618,8,-5.345729227191262,16508.0,StructBreak,-117.99999999998363,9.0,-6.8564787913993825
16560,2025-09-17 03:47:00,SELL,3692.37,3694.03,6.04973,3674.61,True,2.94,1817.0000000000073,111,16649,EMACross,1119.9999999999818,89,61.640066042926655,16649,EMACross(FB),1119.9999999999818,89,61.640066042926655,16671.0,SR_TP,1775.9999999999764,111.0,97.74353329664113
16621,2025-09-17 04:48:00,SELL,3678.58,3687.92,7.35376,3674.61,True,0.54,438.0000000000109,50,16629,TimeExit,-184.9999999999909,8,-42.2374429223713,16629,TimeExit,-184.9999999999909,8,-42.2374429223713,16651.0,TimeExit,-125.0,30.0,-28.538812785387417
16682,2025-09-17 05:49:00,BUY,3683.08,3674.2,7.65993,0.0,False,0.0,76.99999999999818,4,16690,TimeExit,-121.00000000000364,8,-157.14285714286558,16690,TimeExit,-121.00000000000364,8,-157.14285714286558,16712.0,TimeExit,-94.00000000000546,30.0,-122.07792207793204
