Date,Direction,RangeHigh,RangeLow,RangeWidth,H1_ATR,EntryTime,EntryPrice,SL,SL_Distance,ExitTime,ExitPrice,ExitReason,PnL_price,PnL_pips,HoldBars_M15,MFE,MAE,Breakeven,Spread,RejectStage
2025-09-16,LONG,3689.47,3674.72,14.75,8.06,2025-09-16 09:30:00,3689.93,3673.75,16.18,2025-09-16 10:00:00,3690.10,SL_Hit,+0.17,+17,2,4.25,1.79,Y,17,
2025-09-17,SHORT,3695.36,3674.20,21.16,7.47,2025-09-17 09:30:00,3671.50,3696.45,24.95,2025-09-17 12:15:00,3670.24,SL_Hit,+1.26,+126,11,8.99,5.87,Y,17,
2025-09-18,,3671.97,3651.83,20.14,11.67,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-09-19,,3651.14,3632.31,18.83,9.95,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-09-22,LONG,3696.72,3683.63,13.09,8.64,2025-09-22 08:30:00,3698.37,3682.58,15.79,2025-09-22 10:00:00,3710.34,SL_Hit,+11.97,+1197,6,21.48,2.85,Y,16,
2025-09-23,,3759.22,3736.71,22.51,9.36,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-09-24,SHORT,3771.72,3750.61,21.11,11.31,2025-09-24 18:30:00,3745.55,3773.45,27.90,2025-09-24 22:30:00,3726.14,SL_Hit,+19.41,+1941,16,28.05,1.09,Y,16,
2025-09-25,,3751.44,3729.55,21.89,10.62,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-09-26,,3753.27,3737.58,15.69,11.51,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-09-29,LONG,3798.73,3756.48,42.25,12.60,2025-09-29 07:15:00,3799.66,3754.60,45.06,2025-09-29 10:30:00,3808.72,SL_Hit,+9.06,+906,13,20.06,1.33,Y,19,
2025-09-30,,3851.98,3825.63,26.35,11.60,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-01,LONG,3875.44,3854.69,20.75,12.81,2025-10-01 10:45:00,3879.19,3852.94,26.25,2025-10-01 12:15:00,3885.10,SL_Hit,+5.91,+591,6,16.14,0.14,Y,16,
2025-10-02,LONG,3870.59,3852.83,17.76,11.45,2025-10-02 09:00:00,3871.83,3851.65,20.18,2025-10-02 09:45:00,3866.12,SL_Hit,-5.71,-571,3,2.38,9.85,,19,
2025-10-03,SHORT,3863.67,3847.39,16.28,12.19,2025-10-03 07:45:00,3843.99,3865.09,21.10,2025-10-03 08:45:00,3858.08,SL_Hit,-14.09,-1409,4,0.06,15.19,,20,
2025-10-06,,3924.69,3884.13,40.56,12.27,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-07,,3977.35,3955.85,21.50,12.38,,,,,,,,,,,,,,,EMA50_CONTRA
2025-10-08,,4011.75,3983.04,28.71,12.07,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-09,LONG,4044.35,4001.31,43.04,16.23,2025-10-09 15:30:00,4045.48,3999.69,45.79,2025-10-09 16:30:00,4046.87,SL_Hit,+1.39,+139,4,12.49,14.42,Y,16,
2025-10-10,,3994.41,3958.64,35.77,18.84,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-13,LONG,4059.96,3998.71,61.25,21.34,2025-10-13 08:00:00,4063.10,3996.10,67.00,2025-10-13 08:45:00,4063.32,SL_Hit,+0.22,+22,3,14.96,1.38,Y,22,
2025-10-14,,4149.87,4106.53,43.34,16.01,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-15,LONG,4186.69,4140.49,46.20,18.67,2025-10-15 08:00:00,4189.67,4137.91,51.76,2025-10-15 12:00:00,4203.85,SL_Hit,+14.18,+1418,16,28.59,5.46,Y,17,
2025-10-16,LONG,4239.63,4199.58,40.05,16.71,2025-10-16 15:00:00,4244.85,4197.50,47.35,2025-10-16 15:30:00,4228.57,SL_Hit,-16.28,-1628,2,6.07,17.24,,16,
2025-10-17,SHORT,4379.88,4278.63,101.25,27.53,2025-10-17 16:45:00,4273.83,4385.81,111.98,2025-10-17 17:30:00,4250.85,SL_Hit,+22.98,+2298,3,56.75,0.78,Y,16,
2025-10-20,LONG,4274.59,4219.02,55.57,30.90,2025-10-20 14:45:00,4279.13,4216.23,62.90,2025-10-20 16:30:00,4305.53,SL_Hit,+26.40,+2640,7,48.11,6.45,Y,17,
2025-10-21,,4375.29,4332.87,42.42,24.02,,,,,,,,,,,,,,,EMA50_CONTRA
2025-10-22,,4132.38,4004.17,128.21,37.10,,,,,,,,,,,,,,,EMA50_CONTRA
2025-10-23,,4115.95,4066.12,49.83,31.42,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-24,,4144.49,4106.04,38.45,21.38,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-27,,4097.75,4058.17,39.58,22.51,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-28,,4019.80,3973.18,46.62,23.04,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-29,,3982.28,3933.97,48.31,22.10,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-10-30,,3966.60,3915.45,51.15,25.92,,,,,,,,,,,,,,,EMA50_CONTRA
2025-10-31,,4043.07,3991.01,52.06,22.26,,,,,,,,,,,,,,,EMA50_CONTRA
2025-11-03,LONG,4015.27,3962.67,52.60,19.95,2025-11-03 09:15:00,4019.03,3960.32,58.71,2025-11-03 10:15:00,4013.58,SL_Hit,-5.45,-545,4,8.97,7.93,,20,
2025-11-04,,4005.71,3975.66,30.05,16.10,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-11-05,,3965.25,3929.76,35.49,16.03,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-11-06,LONG,3990.37,3964.46,25.91,11.97,2025-11-06 08:45:00,3991.46,3963.01,28.45,2025-11-06 12:00:00,4007.43,SL_Hit,+15.97,+1597,13,25.36,0.36,Y,18,
