<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.13	02:56:00	152.843	152.854	152.826	152.842	144	0	11
2026.02.13	02:57:00	152.833	152.844	152.782	152.804	181	0	8
2026.02.13	02:58:00	152.805	152.805	152.770	152.785	172	0	8
2026.02.13	02:59:00	152.782	152.790	152.758	152.761	140	0	11
2026.02.13	03:00:00	152.761	152.897	152.755	152.815	296	0	8
2026.02.13	03:01:00	152.814	152.816	152.753	152.781	154	0	10
2026.02.13	03:02:00	152.780	152.887	152.779	152.886	201	0	8
2026.02.13	03:03:00	152.887	152.957	152.886	152.932	222	0	8
2026.02.13	03:04:00	152.934	153.028	152.917	153.011	173	0	8
2026.02.13	03:05:00	153.012	153.105	153.003	153.061	209	0	8
2026.02.13	03:06:00	153.061	153.071	153.030	153.056	147	0	12
2026.02.13	03:07:00	153.054	153.125	153.037	153.104	163	0	8
2026.02.13	03:08:00	153.104	153.160	153.095	153.111	178	0	8
2026.02.13	03:09:00	153.110	153.131	153.093	153.127	126	0	8
2026.02.13	03:10:00	153.128	153.131	153.083	153.100	148	0	8
2026.02.13	03:11:00	153.101	153.180	153.099	153.180	172	0	8
2026.02.13	03:12:00	153.182	153.227	153.179	153.225	167	0	8
2026.02.13	03:13:00	153.224	153.239	153.192	153.218	134	0	8
2026.02.13	03:14:00	153.218	153.236	153.176	153.176	154	0	11
2026.02.13	03:15:00	153.178	153.180	153.118	153.129	215	0	10
2026.02.13	03:16:00	153.127	153.132	153.102	153.115	127	0	12
2026.02.13	03:17:00	153.115	153.152	153.115	153.120	134	0	11
2026.02.13	03:18:00	153.119	153.119	153.080	153.107	89	0	10
2026.02.13	03:19:00	153.108	153.146	153.102	153.146	138	0	11
2026.02.13	03:20:00	153.145	153.167	153.133	153.162	150	0	10
2026.02.13	03:21:00	153.163	153.172	153.140	153.143	85	0	8
2026.02.13	03:22:00	153.148	153.182	153.148	153.166	96	0	8
2026.02.13	03:23:00	153.167	153.209	153.167	153.184	119	0	8
2026.02.13	03:24:00	153.184	153.217	153.176	153.213	99	0	8
2026.02.13	03:25:00	153.212	153.261	153.212	153.258	143	0	10
