<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.12	01:07:00	5086.97	5087.52	5083.67	5084.08	141	0	18
2026.02.12	01:08:00	5084.11	5086.08	5080.93	5080.93	108	0	16
2026.02.12	01:09:00	5080.92	5082.40	5075.78	5082.29	211	0	16
2026.02.12	01:10:00	5082.41	5082.74	5073.18	5073.49	171	0	16
2026.02.12	01:11:00	5073.57	5075.01	5053.55	5060.46	307	0	16
2026.02.12	01:12:00	5060.45	5070.57	5059.13	5069.10	279	0	16
2026.02.12	01:13:00	5069.20	5069.65	5063.71	5064.00	232	0	19
2026.02.12	01:14:00	5064.06	5065.06	5061.26	5063.29	201	0	19
2026.02.12	01:15:00	5063.14	5066.73	5058.62	5066.13	381	0	16
2026.02.12	01:16:00	5065.99	5068.12	5063.31	5065.19	303	0	16
2026.02.12	01:17:00	5064.91	5067.16	5063.53	5064.25	284	0	18
2026.02.12	01:18:00	5064.23	5067.32	5063.55	5065.79	295	0	18
2026.02.12	01:19:00	5065.73	5066.75	5063.55	5066.67	271	0	16
2026.02.12	01:20:00	5066.89	5070.99	5066.87	5070.46	280	0	18
2026.02.12	01:21:00	5070.50	5070.50	5063.25	5064.09	221	0	16
2026.02.12	01:22:00	5064.10	5066.29	5063.75	5064.40	202	0	18
2026.02.12	01:23:00	5064.34	5067.93	5063.85	5066.91	203	0	21
2026.02.12	01:24:00	5066.88	5069.46	5064.93	5069.14	159	0	21
2026.02.12	01:25:00	5069.13	5070.08	5067.49	5069.63	195	0	19
2026.02.12	01:26:00	5069.59	5070.21	5066.46	5068.01	217	0	23
2026.02.12	01:27:00	5067.97	5070.20	5067.93	5070.12	122	0	22
2026.02.12	01:28:00	5070.11	5070.11	5068.67	5068.74	115	0	21
2026.02.12	01:29:00	5068.73	5069.57	5068.57	5068.90	97	0	23
2026.02.12	01:30:00	5068.89	5069.39	5068.01	5069.34	130	0	22
2026.02.12	01:31:00	5069.30	5069.57	5064.43	5066.77	262	0	19
2026.02.12	01:32:00	5066.63	5066.63	5063.09	5064.37	191	0	21
2026.02.12	01:33:00	5064.38	5066.63	5059.88	5062.97	257	0	19
2026.02.12	01:34:00	5062.95	5064.44	5061.15	5063.01	147	0	19
2026.02.12	01:35:00	5062.98	5064.11	5062.70	5062.92	138	0	16
2026.02.12	01:36:00	5062.93	5063.42	5061.26	5062.79	173	0	20
2026.02.12	01:37:00	5062.76	5065.45	5062.76	5063.59	235	0	19
2026.02.12	01:38:00	5063.62	5064.09	5063.02	5063.19	105	0	19
2026.02.12	01:39:00	5063.08	5065.18	5061.23	5064.90	160	0	17
2026.02.12	01:40:00	5064.93	5065.68	5063.14	5065.68	84	0	16
2026.02.12	01:41:00	5065.74	5067.10	5065.08	5065.32	157	0	19
2026.02.12	01:42:00	5065.27	5065.27	5063.79	5064.89	167	0	20
2026.02.12	01:43:00	5064.84	5064.88	5063.92	5063.99	112	0	18
2026.02.12	01:44:00	5063.94	5065.18	5063.14	5063.18	97	0	20
2026.02.12	01:45:00	5063.23	5066.76	5063.23	5065.30	71	0	16
2026.02.12	01:46:00	5065.37	5067.89	5064.71	5065.40	161	0	18
2026.02.12	01:47:00	5065.41	5066.17	5064.54	5065.50	139	0	19
2026.02.12	01:48:00	5065.52	5066.39	5064.93	5066.39	138	0	20
2026.02.12	01:49:00	5066.38	5068.50	5066.36	5068.48	111	0	19
2026.02.12	01:50:00	5068.49	5070.99	5064.60	5069.11	331	0	16
2026.02.12	01:51:00	5069.10	5069.57	5068.11	5069.28	176	0	19
2026.02.12	01:52:00	5069.33	5069.37	5067.65	5067.77	111	0	20
2026.02.12	01:53:00	5067.77	5068.68	5067.42	5067.42	155	0	20
2026.02.12	01:54:00	5067.41	5067.74	5064.81	5066.51	177	0	20
2026.02.12	01:55:00	5066.52	5066.52	5063.68	5065.37	185	0	20
2026.02.12	01:56:00	5065.37	5066.36	5064.45	5066.19	142	0	19
2026.02.12	01:57:00	5066.23	5067.75	5066.10	5066.81	93	0	19
2026.02.12	01:58:00	5066.84	5067.48	5064.89	5065.06	127	0	20
2026.02.12	01:59:00	5065.14	5065.67	5060.22	5061.15	251	0	19
2026.02.12	02:00:00	5061.02	5067.62	5058.91	5059.06	451	0	19
2026.02.12	02:01:00	5059.10	5059.82	5055.69	5059.68	469	0	19
2026.02.12	02:02:00	5059.69	5064.31	5058.51	5063.67	458	0	17
2026.02.12	02:03:00	5063.60	5065.46	5060.63	5062.03	316	0	21
2026.02.12	02:04:00	5062.00	5062.94	5059.15	5060.83	336	0	17
2026.02.12	02:05:00	5060.82	5061.68	5054.13	5056.05	454	0	18
2026.02.12	02:06:00	5056.25	5058.71	5055.40	5058.71	406	0	20
2026.02.12	02:07:00	5058.72	5060.02	5057.16	5057.36	288	0	20
2026.02.12	02:08:00	5057.40	5061.25	5056.76	5061.23	264	0	19
2026.02.12	02:09:00	5061.29	5062.94	5056.76	5057.46	337	0	17
2026.02.12	02:10:00	5057.45	5060.25	5055.86	5059.67	252	0	18
2026.02.12	02:11:00	5059.64	5059.64	5054.82	5054.82	159	0	18
2026.02.12	02:12:00	5054.93	5057.54	5051.97	5052.32	208	0	17
2026.02.12	02:13:00	5052.25	5052.83	5049.81	5051.01	286	0	18
2026.02.12	02:14:00	5051.05	5057.06	5049.77	5056.75	366	0	17
2026.02.12	02:15:00	5056.65	5060.72	5056.56	5059.04	380	0	18
2026.02.12	02:16:00	5059.05	5066.36	5058.89	5064.46	386	0	16
2026.02.12	02:17:00	5064.39	5064.45	5059.04	5060.90	279	0	18
2026.02.12	02:18:00	5060.91	5062.84	5060.28	5060.55	235	0	21
2026.02.12	02:19:00	5060.45	5060.47	5054.62	5056.14	294	0	20
2026.02.12	02:20:00	5056.19	5061.53	5056.09	5057.80	407	0	20
2026.02.12	02:21:00	5057.79	5058.01	5054.36	5054.96	218	0	18
2026.02.12	02:22:00	5054.91	5056.65	5053.82	5056.03	250	0	20
2026.02.12	02:23:00	5056.04	5058.49	5054.80	5057.38	219	0	19
2026.02.12	02:24:00	5057.36	5059.38	5055.79	5058.99	219	0	18
2026.02.12	02:25:00	5058.92	5060.70	5057.96	5059.48	241	0	16
2026.02.12	02:26:00	5059.47	5061.14	5057.28	5060.44	219	0	20
2026.02.12	02:27:00	5060.45	5061.72	5059.69	5060.69	187	0	19
2026.02.12	02:28:00	5060.70	5061.15	5057.59	5058.70	150	0	20
2026.02.12	02:29:00	5058.76	5060.79	5057.36	5060.47	155	0	21
2026.02.12	02:30:00	5060.36	5062.49	5059.71	5059.73	216	0	20
2026.02.12	02:31:00	5059.66	5061.86	5059.66	5061.50	214	0	17
2026.02.12	02:32:00	5061.47	5063.45	5060.04	5062.98	208	0	17
2026.02.12	02:33:00	5063.00	5065.93	5062.21	5064.33	277	0	21
2026.02.12	02:34:00	5064.06	5064.82	5062.52	5063.90	285	0	19
2026.02.12	02:35:00	5063.89	5065.01	5060.08	5064.04	293	0	16
2026.02.12	02:36:00	5064.09	5064.61	5062.59	5063.00	171	0	21
2026.02.12	02:37:00	5062.93	5063.04	5057.72	5059.51	174	0	19
2026.02.12	02:38:00	5059.41	5060.61	5058.70	5058.78	121	0	19
