<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.13	01:34:00	159.313	159.313	159.302	159.305	33	0	13
2026.03.13	01:35:00	159.306	159.306	159.288	159.295	24	0	13
2026.03.13	01:36:00	159.295	159.304	159.291	159.304	41	0	13
2026.03.13	01:37:00	159.306	159.306	159.301	159.303	35	0	13
2026.03.13	01:38:00	159.304	159.307	159.303	159.304	27	0	12
2026.03.13	01:39:00	159.304	159.304	159.290	159.292	30	0	12
2026.03.13	01:40:00	159.292	159.299	159.291	159.299	21	0	12
2026.03.13	01:41:00	159.299	159.320	159.295	159.315	29	0	11
2026.03.13	01:42:00	159.317	159.317	159.312	159.312	3	0	15
2026.03.13	01:43:00	159.313	159.318	159.312	159.318	8	0	14
2026.03.13	01:44:00	159.317	159.317	159.305	159.306	20	0	11
2026.03.13	01:45:00	159.307	159.307	159.296	159.305	33	0	11
2026.03.13	01:46:00	159.304	159.304	159.273	159.277	65	0	11
2026.03.13	01:47:00	159.276	159.280	159.251	159.252	41	0	8
2026.03.13	01:48:00	159.250	159.265	159.249	159.258	58	0	11
2026.03.13	01:49:00	159.256	159.257	159.233	159.239	133	0	8
2026.03.13	01:50:00	159.240	159.266	159.236	159.266	106	0	8
2026.03.13	01:51:00	159.267	159.267	159.233	159.234	80	0	11
2026.03.13	01:52:00	159.235	159.243	159.216	159.223	83	0	8
2026.03.13	01:53:00	159.223	159.234	159.220	159.234	68	0	12
2026.03.13	01:54:00	159.234	159.243	159.232	159.241	72	0	11
2026.03.13	01:55:00	159.238	159.243	159.220	159.220	59	0	10
2026.03.13	01:56:00	159.221	159.227	159.186	159.188	57	0	8
2026.03.13	01:57:00	159.187	159.208	159.178	159.207	100	0	8
2026.03.13	01:58:00	159.207	159.213	159.201	159.211	68	0	11
2026.03.13	01:59:00	159.211	159.236	159.206	159.236	82	0	8
2026.03.13	02:00:00	159.237	159.237	159.125	159.132	252	0	8
2026.03.13	02:01:00	159.132	159.133	159.097	159.114	149	0	8
2026.03.13	02:02:00	159.114	159.119	159.074	159.075	103	0	8
2026.03.13	02:03:00	159.074	159.100	159.044	159.056	153	0	10
2026.03.13	02:04:00	159.055	159.070	159.026	159.040	144	0	8
2026.03.13	02:05:00	159.041	159.079	159.036	159.069	184	0	8
2026.03.13	02:06:00	159.068	159.069	159.028	159.043	126	0	8
2026.03.13	02:07:00	159.042	159.045	159.013	159.013	119	0	8
2026.03.13	02:08:00	159.013	159.039	159.013	159.030	99	0	8
2026.03.13	02:09:00	159.029	159.045	159.024	159.039	100	0	10
2026.03.13	02:10:00	159.039	159.078	159.032	159.069	87	0	10
2026.03.13	02:11:00	159.069	159.086	159.064	159.070	127	0	8
2026.03.13	02:12:00	159.071	159.090	159.067	159.084	117	0	8
2026.03.13	02:13:00	159.085	159.089	159.027	159.027	101	0	8
2026.03.13	02:14:00	159.027	159.068	159.026	159.050	152	0	8
2026.03.13	02:15:00	159.049	159.058	159.044	159.053	138	0	8
2026.03.13	02:16:00	159.053	159.061	159.016	159.050	174	0	8
2026.03.13	02:17:00	159.051	159.072	159.043	159.045	88	0	8
2026.03.13	02:18:00	159.043	159.049	159.034	159.038	88	0	10
2026.03.13	02:19:00	159.037	159.045	159.027	159.043	88	0	10
2026.03.13	02:20:00	159.044	159.048	159.018	159.018	64	0	8
2026.03.13	02:21:00	159.019	159.032	159.015	159.032	63	0	8
2026.03.13	02:22:00	159.032	159.056	159.030	159.041	57	0	10
2026.03.13	02:23:00	159.034	159.035	159.014	159.015	97	0	8
2026.03.13	02:24:00	159.016	159.035	159.007	159.028	85	0	8
2026.03.13	02:25:00	159.028	159.043	159.028	159.037	85	0	8
2026.03.13	02:26:00	159.039	159.061	159.036	159.058	112	0	8
2026.03.13	02:27:00	159.058	159.077	159.036	159.044	109	0	8
2026.03.13	02:28:00	159.044	159.051	159.023	159.030	103	0	8
2026.03.13	02:29:00	159.029	159.033	159.021	159.028	40	0	8
2026.03.13	02:30:00	159.028	159.056	159.027	159.053	67	0	8
2026.03.13	02:31:00	159.054	159.084	159.046	159.084	100	0	8
2026.03.13	02:32:00	159.083	159.083	159.042	159.057	84	0	8
2026.03.13	02:33:00	159.058	159.064	159.052	159.052	86	0	8
2026.03.13	02:34:00	159.053	159.072	159.052	159.068	132	0	8
2026.03.13	02:35:00	159.069	159.107	159.068	159.096	87	0	8
2026.03.13	02:36:00	159.096	159.096	159.078	159.086	61	0	8
2026.03.13	02:37:00	159.086	159.101	159.084	159.097	58	0	10
2026.03.13	02:38:00	159.098	159.115	159.092	159.114	63	0	8
2026.03.13	02:39:00	159.115	159.159	159.115	159.148	115	0	8
2026.03.13	02:40:00	159.148	159.155	159.142	159.154	66	0	8
2026.03.13	02:41:00	159.155	159.175	159.149	159.160	52	0	8
2026.03.13	02:42:00	159.161	159.168	159.156	159.161	75	0	8
2026.03.13	02:43:00	159.162	159.177	159.162	159.174	73	0	10
2026.03.13	02:44:00	159.176	159.183	159.162	159.167	55	0	8
2026.03.13	02:45:00	159.167	159.177	159.155	159.158	114	0	10
2026.03.13	02:46:00	159.156	159.165	159.154	159.159	99	0	8
2026.03.13	02:47:00	159.168	159.168	159.119	159.122	83	0	8
2026.03.13	02:48:00	159.122	159.130	159.093	159.117	121	0	8
2026.03.13	02:49:00	159.115	159.138	159.114	159.117	71	0	8
2026.03.13	02:50:00	159.116	159.129	159.107	159.123	69	0	10
2026.03.13	02:51:00	159.122	159.150	159.117	159.118	103	0	8
2026.03.13	02:52:00	159.117	159.149	159.112	159.148	139	0	10
2026.03.13	02:53:00	159.147	159.223	159.134	159.223	229	0	8
2026.03.13	02:54:00	159.224	159.230	159.158	159.176	279	0	8
2026.03.13	02:55:00	159.175	159.179	159.067	159.092	204	0	8
2026.03.13	02:56:00	159.092	159.112	159.079	159.102	182	0	8
2026.03.13	02:57:00	159.103	159.125	159.094	159.103	101	0	8
2026.03.13	02:58:00	159.099	159.115	159.097	159.110	105	0	8
2026.03.13	02:59:00	159.111	159.112	159.073	159.091	89	0	8
2026.03.13	03:00:00	159.092	159.113	159.072	159.099	141	0	8
2026.03.13	03:01:00	159.099	159.120	159.094	159.095	114	0	8
2026.03.13	03:02:00	159.096	159.124	159.076	159.113	124	0	8
2026.03.13	03:03:00	159.114	159.114	159.071	159.071	89	0	8
2026.03.13	03:04:00	159.072	159.072	159.044	159.055	135	0	10
2026.03.13	03:05:00	159.056	159.069	159.052	159.055	130	0	8
2026.03.13	03:06:00	159.056	159.057	159.042	159.044	134	0	10
2026.03.13	03:07:00	159.042	159.060	159.029	159.057	118	0	8
2026.03.13	03:08:00	159.055	159.072	159.042	159.071	158	0	8
2026.03.13	03:09:00	159.070	159.097	159.069	159.088	134	0	8
2026.03.13	03:10:00	159.088	159.089	159.072	159.075	125	0	10
2026.03.13	03:11:00	159.073	159.078	159.043	159.063	142	0	8
2026.03.13	03:12:00	159.063	159.078	159.045	159.078	114	0	8
2026.03.13	03:13:00	159.077	159.101	159.066	159.098	122	0	8
2026.03.13	03:14:00	159.097	159.117	159.096	159.113	126	0	8
2026.03.13	03:15:00	159.114	159.128	159.091	159.093	147	0	8
2026.03.13	03:16:00	159.092	159.100	159.054	159.073	101	0	8
2026.03.13	03:17:00	159.073	159.099	159.066	159.091	136	0	8
2026.03.13	03:18:00	159.092	159.117	159.091	159.096	122	0	8
2026.03.13	03:19:00	159.097	159.117	159.087	159.115	121	0	8
2026.03.13	03:20:00	159.116	159.138	159.108	159.112	144	0	8
2026.03.13	03:21:00	159.111	159.120	159.109	159.118	78	0	8
2026.03.13	03:22:00	159.117	159.123	159.095	159.098	112	0	8
2026.03.13	03:23:00	159.098	159.104	159.089	159.099	116	0	8
2026.03.13	03:24:00	159.100	159.146	159.098	159.146	94	0	10
